city,outcome,window,expo,n,ndonor,beta,se,ci_l,ci_u,p,sig,q
Chongqing,survival_post,w15_69,hw3,5869,1616,-0.0018302124178592608,0.0014031493751812901,-0.0045803851932145895,0.0009199603574960677,0.1921107455558454,,0.2998801881847343
Chongqing,survival_post,w15_69,hwp95,5869,1616,-0.003930313019116608,0.0030212562401032836,-0.009851975249719043,0.001991349211485828,0.193297130565951,,0.29929878281179506
Wuhan,pr_pre,w15_69,hwp95,33748,10015,-0.0033043957614444,0.0026253466438392594,-0.008450075183369349,0.0018412836604805483,0.2081563370882551,,0.3197281337675598
Chongqing,volume,w0_9,tmax,20358,10444,-0.002652768553900075,0.002120112232905336,-0.006808188530394534,0.0015026514225943838,0.21084704495224948,,0.3212907351653326
Wuhan,pr_pre,w15_69,tmax,33748,10015,0.0020230692415980234,0.0016538768546640787,-0.0012185293935435709,0.005264667876739617,0.22124341824682514,,0.3344782386093734
Chongqing,tsc,w15_69,anyhw3,20503,10506,0.02929937850967315,0.02418906262955439,-0.01811118424425345,0.07670994126359974,0.22579364329328688,,0.3386904649399303
Chongqing,volume,w70_90,hw3,20371,10474,-0.002952282319917177,0.0025161320312698235,-0.00788390110120603,0.0019793364613716765,0.24065885644313467,,0.3581899258688516
Chongqing,tsc,w0_90,hwp95,20503,10506,0.0024569900103175116,0.0021406331463013793,-0.0017386509564331918,0.006652630977068215,0.2510566763228331,,0.3707913988767997
Chongqing,pr_pre,w0_9,hwp95,20371,10451,-0.006819265851842827,0.0060047173343433366,-0.018588511827155766,0.004949980123470112,0.25610247372837525,,0.37535629737288584
Wuhan,volume,w0_90,hwp95,32956,9651,-0.002245186196096758,0.0019860199354570455,-0.006137785269592567,0.001647412877399051,0.25826757918390086,,0.37566193335840126
Wuhan,volume,w15_69,anyhw3,33706,10003,-0.023094923218391728,0.02046306064760109,-0.06320252208768987,0.017012675650906407,0.259060155918578,,0.37398157846892466
Chongqing,np_post,w15_69,anyhw3,8143,2764,0.03391453418045494,0.030803719623855367,-0.02646075628230158,0.09428982464321145,0.27090175952727535,,0.388157744994305
Chongqing,sc_pre,w15_69,anyhw3,20503,10506,0.026913633629367377,0.024988266283817843,-0.022063368286915595,0.07589063554565034,0.28145754570359516,,0.4002951761117798
Chongqing,pr_pre,w15_69,hw3,20503,10506,-0.0011354604017000404,0.0010858388449391336,-0.0032637045377807423,0.0009927837343806614,0.2957001065854056,,0.41745897400292553
Wuhan,volume,w0_9,anyhw3,34657,10111,-0.026148265352264354,0.02514440733247351,-0.07543130372391244,0.023134773019383728,0.2983753460683378,,0.41816106894248806
Chongqing,np_post,w70_90,tmax,8096,2761,-0.0024017664697619946,0.0024046989562240945,-0.00711497642396122,0.0023114434844372306,0.3179010254654121,,0.4422970789083994
Chongqing,tsc,w70_90,anyhw3,20384,10482,0.03170799346333654,0.0317881841969238,-0.03059684756263411,0.0940128344893072,0.3185328667339121,,0.43998784469720237
Chongqing,pr_post,w70_90,hw3,8096,2761,0.0034633596687755593,0.0034976344788047783,-0.0033920039096818058,0.010318723247232924,0.32207609202381704,,0.4417043547755205
Wuhan,volume,w0_9,hwp95,34657,10111,0.008751565724513412,0.008890089006760337,-0.00867300872873685,0.026176140177763672,0.3249099160716401,,0.4424305240124461
Chongqing,tsc,w70_90,hwp95,20384,10482,0.003747808967667522,0.003959596325631159,-0.00401299983056955,0.011508617765904594,0.34388705008211484,,0.4649740395476482
Wuhan,pr_pre,w0_9,hwp95,34697,10124,-0.008493257876422498,0.00906056713240282,-0.026251969455932025,0.00926545370308703,0.348559523618753,,0.4679960037398641
Chongqing,volume,w70_90,hwp95,20371,10474,-0.0040040288202421595,0.004454486290278272,-0.012734821949187573,0.004726764308703253,0.36871895184984427,,0.49162526913312576
Wuhan,volume,w15_69,hw3,33706,10003,0.001082241398156534,0.0012375603357191746,-0.001343376859853048,0.003507859656166116,0.3818482702680831,,0.5056197785618755
Wuhan,pr_pre,w15_69,hw3,33748,10015,-0.000956835294473852,0.0012098453045795395,-0.0033281320914497494,0.0014144615025020453,0.42901747417385994,,0.5641873632971309
Wuhan,volume,w15_69,tmax,33706,10003,0.0013790314726690458,0.0017584012653674968,-0.0020674350074512482,0.004825497952789339,0.4328916700724501,,0.565409528257894
