city,outcome,window,expo,n,ndonor,beta,se,p,q,ci_l,ci_u,sig
Chongqing,survival_post,w0_9,tmax,5844,1606,-0.0026178029850918603,0.0031992045665694946,0.413204840986072,0.5240646763725793,-0.00888824393556807,0.003652637965384349,
Chongqing,sc_pre,w0_90,anyhw3,8143,2763,0.030234906540276885,0.04159317422586427,0.46727501857086806,0.5878621201375437,-0.05128771494241707,0.11175752802297084,
Chongqing,volume,w0_9,hwp95,8102,2745,0.04744523738140678,0.06669140146624002,0.4768273479408728,0.5950805302302092,-0.08326990949242365,0.17816038425523723,
Chongqing,sc_post,w0_90,anyhw3,8143,2763,0.02428588444697589,0.03582641549414088,0.4978500135221865,0.6163857310274691,-0.04593388992154024,0.09450565881549203,
Chongqing,sc_pre,w0_9,hwp95,8102,2745,-0.03409559520544372,0.053812060691937155,0.526338582464847,0.6465261327914656,-0.13956723416164055,0.0713760437507531,
Chongqing,pr_post,w70_90,tmax,8143,2763,0.001819323083575775,0.0029645228115492786,0.5394146063242793,0.6518588297939512,-0.0039911416270608105,0.007629787794212361,
Wuhan,volume,w15_69,tmax,16621,2688,0.0017186431086209256,0.002813736695558123,0.5413289967315414,0.6518588297939512,-0.0037962808146729957,0.007233567031914846,
Chongqing,sc_pre,w15_69,tmax,8143,2763,-0.0020810964138007777,0.003423095474537462,0.5432156914949593,0.6518588297939512,-0.008790363543894203,0.004628170716292648,
Chongqing,tsc,w15_69,anyhw3,8143,2763,0.022815300188961225,0.03848661255038228,0.553307420658038,0.6589004398675872,-0.052618460409788036,0.09824906078771048,
Chongqing,pr_post,w0_9,tmax,8102,2745,-0.0015626628793481085,0.002742531859660663,0.5688212144895419,0.6722432534876405,-0.006938025324283007,0.00381269956558679,
Chongqing,volume,w15_69,hwp95,8143,2763,-0.03210484698759838,0.05903509534284398,0.5865608978983163,0.6879962411438898,-0.14781363385957258,0.08360393988437581,
Chongqing,sc_post,w70_90,tmax,8143,2763,-0.0016106011892529667,0.0030772901515018804,0.6007077886427915,0.6957800042850099,-0.007642089886196652,0.004420887507690719,
Chongqing,volume,w70_90,hwp95,8143,2763,-0.035113536225993086,0.0673501265690768,0.6021173114004893,0.6957800042850099,-0.1671197843013836,0.09689271184939743,
Chongqing,sc_post,w70_90,anyhw3,8143,2763,-0.022836881341511732,0.04507562911356374,0.6124111016370593,0.7024715577601562,-0.11118511440409667,0.0655113517210732,
Chongqing,volume,w0_9,tmax,8102,2745,-0.0017490317001546362,0.003613987360624222,0.6284130048881158,0.7155651734492413,-0.008832446926978111,0.005334383526668839,
Wuhan,pr_pre,w0_9,hwp95,16621,2688,-0.029638663037892546,0.0623019189621465,0.6342693627381717,0.7170001491822809,-0.15175042420369966,0.09247309812791459,
